provider_id,organization_id,name,specialty
BRHA-001,BRHA,Dr. Amelia Carter,FAMILY PRACTICE
BRHA-002,BRHA,Dr. Marcus Bennett,INTERNAL MEDICINE
BRHA-003,BRHA,Dr. Priya Shah,FAMILY PRACTICE
BRHA-004,BRHA,Dr. Daniel Kim,INTERNAL MEDICINE
BRHA-005,BRHA,Dr. Elena Rodriguez,FAMILY PRACTICE
CVMG-001,CVMG,Dr. Marcus Bennett,FAMILY PRACTICE
CVMG-002,CVMG,Dr. Aisha Thompson,INTERNAL MEDICINE
CVMG-003,CVMG,Dr. Michael Chen,FAMILY PRACTICE
CVMG-004,CVMG,Dr. Sofia Martinez,INTERNAL MEDICINE
CVMG-005,CVMG,Dr. Elena Rodriguez,FAMILY PRACTICE
